name,lon,lat,injuries,fatalities,points,score
Perry St and Washington St,-74.00843999999999,40.73479,10,0,1,1
Waverly Pl and Grove St,-74.001656,40.733707,4,0,1,1
Morton St and 7th Ave S,-74.00423000000001,40.73113,6,0,1,1
W 10th St and Greenwich St,-74.00735,40.73359,8,0,1,1
"40.749302,-74.008064",-74.008064,40.749302,9,0,1,1
11th Ave and W 29th St,-74.00427000000001,40.752644,7,0,1,1
"40.730717,-74.00446",-74.00445999999999,40.730717,4,0,1,1
"40.748398,-73.99994",-73.99994,40.748398,18,0,1,1
W 23rd St and 7th Ave,-73.99563999999999,40.7441,63,0,1,1
Jones St and Bleecker St,-74.00329600000001,40.731743,6,0,1,1
W 18th St and Ave of the Americas,-73.99502,40.73986,26,0,1,1
"40.73927,-73.995445",-73.995445,40.73927,19,0,1,1
Leroy St and 7th Ave S,-74.004684,40.73032,6,0,1,1
W 10th St and Greenwich Ave,-73.99997,40.734688,11,0,1,1
W 28th St and 10th Ave,-74.001884,40.750828,12,0,1,1
Washington St and Charles St,-74.00848999999999,40.734093,1,0,1,1
"40.731464,-74.00314",-74.00314,40.731464,2,0,1,1
8th Ave and W 25th St,-73.99755,40.746582,15,1,1,1
W 16th St and Ave of the Americas,-73.99587,40.738686,32,0,1,1
W 15th St and Ave of the Americas,-73.99634,40.738045,17,0,1,1
Christopher St and Greenwich St,-74.00752,40.732853,12,0,1,1
Christopher St and Gay St,-74.00036,40.733974,1,0,1,1
"40.73531,-74.0101",-74.01009999999999,40.73531,4,0,1,1
Ave of the Americas and W 14th St,-73.99684000000001,40.737362,82,0,2,2
W 30th St and 11th Ave,-74.00382,40.75326,9,0,1,1
Barrow St and Hudson St,-74.00662,40.73167,5,0,1,1
Bleecker St and Cornelia St,-74.002945,40.731136,1,0,1,1
"40.736668,-73.997345",-73.997345,40.736668,32,0,1,1
"40.74476,-73.995155",-73.995155,40.74476,22,0,1,1
W 4th St and Jones St,-74.00166,40.73232,7,0,1,1
"40.733242,-74.0007",-74.00069999999999,40.733242,0,0,1,1
"40.75031,-74.00837",-74.00837,40.75031,31,1,1,1
W 10th St and Washington St,-74.00855,40.733402,2,0,1,1
"40.736034,-73.99781",-73.99781,40.736034,31,0,1,1
"40.72986,-74.00395",-74.00395,40.72986,1,0,1,1
"40.730915,-74.00282",-74.00282,40.730915,1,0,1,1
Christopher St and Greenwich Ave,-73.99966000000001,40.73407,7,0,1,1
Ave of the Americas and W 11th St,-73.998276,40.73539,15,0,1,1
10th Ave and W 29th St,-74.00143,40.751446,8,0,1,1
W 10th St and Ave of the Americas,-73.99871,40.734783,19,0,1,1
8th Ave and W 26th St,-73.9971,40.747204,27,0,1,1
"40.734573,-74.01016",-74.01016,40.734573,8,0,1,1
Carmine St and 7th Ave S,-74.005135,40.72952,8,0,1,1
"40.73414,-73.99918",-73.99918,40.73414,33,0,1,1
Morton St and Hudson St,-74.00673999999999,40.730946,4,0,1,1
Greenwich Ave and Ave of the Americas,-73.99956,40.733612,27,0,1,1
Clarkson St and 7th Ave S,-74.00522599999999,40.729336,2,0,1,1
Christopher St and Washington St,-74.00864,40.732643,8,0,1,1
Barrow St and Greenwich St,-74.007805,40.731785,1,0,1,1
Waverly Pl and Ave of the Americas,-74.00006999999999,40.73293,14,0,1,1
Bedford St and Downing St,-74.003654,40.729343,3,0,1,1
W 28th St and 9th Ave,-73.99903999999999,40.749638,19,0,1,1
Cornelia St and W 4th St,-74.00117,40.731773,1,0,1,1
W Washington Pl and Ave of the Americas,-74.00051000000001,40.732315,7,0,1,1
Lincoln Hwy and W 26th St,-74.00802,40.751793,17,0,1,1
Carmine St and Bleecker St,-74.00247,40.730324,11,0,1,1
"40.733845,-74.010216",-74.010216,40.733845,3,0,1,1
Ave of the Americas and W 4th St,-74.00095,40.731705,17,0,1,1
"40.728855,-74.00527",-74.00527,40.728855,4,0,1,1
"40.752422,-74.00767",-74.00767,40.752422,4,0,1,1
"40.75206,-74.000984",-74.000984,40.75206,21,0,1,1
W 3rd St and Ave of the Americas,-74.00141000000001,40.731064,14,0,1,1
8th Ave and W 27th St,-73.99665,40.74782,7,0,1,1
Leroy St and Hudson St,-74.00686,40.73023,2,0,1,1
"40.728603,-74.00531",-74.00530999999999,40.728603,47,0,1,1
"40.730583,-74.001686",-74.00168600000001,40.730583,3,0,1,1
Barrow St and Washington St,-74.00878,40.731873,3,0,1,1
Morton St and Greenwich St,-74.008,40.731068,1,0,1,1
"40.753143,-74.00741",-74.00740999999999,40.753143,6,0,1,1
W 29th St and 9th Ave,-73.9986,40.75024,21,2,1,1
"40.73315,-74.010284",-74.010284,40.73315,6,0,1,1
Ave of the Americas and Downing St,-74.002205,40.729652,18,0,1,1
"40.75383,-74.00714",-74.00714000000001,40.75383,7,0,1,1
"40.732452,-74.00987",-74.00987000000001,40.732452,2,0,1,1
Clarkson St and Hudson St,-74.00697,40.729496,6,0,1,1
Varick St and King St,-74.005424,40.72788,15,0,1,1
10th Ave and W 31st St,-74.00053,40.75269,8,0,1,1
"40.75449,-74.00674",-74.00673999999999,40.75449,46,1,1,1
W 28th St and 8th Ave,-73.99619,40.74844,20,0,1,1
Morton St and Washington St,-74.00893000000001,40.731155,3,0,1,1
Leroy St and Greenwich St,-74.0082,40.73035,1,0,1,1
"40.728363,-74.002815",-74.002815,40.728363,22,1,1,1
"40.755894,-74.00559",-74.00559,40.755894,8,0,1,1
"40.732384,-74.01035",-74.01035,40.732384,28,0,1,1
W 33rd St and 11th Ave,-74.00247,40.755116,72,0,2,2
W 8th St and Mac Dougal St,-73.997986,40.732944,5,0,1,1
"40.727665,-74.003174",-74.003174,40.727665,7,0,1,1
Mac Dougal St and Washington Sq N,-73.99861,40.732216,3,0,1,1
